"Regional Variant","iPhone Model","Condition","Current iOS","Battery issue on iOS update","Display issue on iOS update"," Noticeable Device","Battery health","Current Battery health","Apple Charger","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EU","13 Pro","New","16.3","Yes","No","Yes","100","99","Original","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EU","14 Pro","New","16.3.1","No","No","No","100","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USA","14 Pro","New","16.3.1","No","No","No","100","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USA","Xs Max","New","16.3.1","Yes","No","Yes","100","86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USA","8 Plus","Used","16.3.1","Yes","No","No","93","80","Original","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Japan","iphone 11","Used","16.3","Yes","No","Yes","84","79","Certified Third party","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USA","iPhone 12","New","16.3.1","Yes","No","Yes","100","100","Certified Third party","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EU","14 Pro Max","New","16.3","No","No","No","100","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USA","iPhone 7","Used","14.8","Yes","No","Yes","100","75","Certified Third party","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USA","iPhone 13","New","16.3.1","","No","Yes","100","100","Certified Third party","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Honkong ","11 Pro Max","Used","16.1","Yes","No","Yes","87","86","Original","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USA","iPhone 13","New","16.3","No","No","Yes","100","100","Certified Third party","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Singapore","13 Pro Max","New","16.3","Yes","No","Yes","100","95","Original","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USA","14 Pro","New","16.3.1","No","No","No","100","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EU","12 Pro Max","New","16.1.1","No","No","No","100","86","Certified Third party","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USA","14 Pro","New","16.3.1","No","No","","100","100","Original","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EU","14 Pro","New","16.1.1","No","No","Yes","100","100","Certified Third party","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USA","iPhone 12","New","16.3.1","","No","Yes","100","100","Original","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
